,City,Country,Lat,Lng,Hotel Name
274,lengshuitan,CN,26.41,111.6,Gelin Holiday Inn
275,sept-iles,CA,50.2,-66.38,Château Arnaud
276,matagami,CA,49.75,-77.63,Hôtel Matagami
277,bogatyye saby,RU,56.01,50.45,Gostinitsa Kolos
278,isangel,VU,-19.55,169.27,Tanna Ikamir Bungalows and Accommodation
279,thompson,CA,55.74,-97.86,Best Western Thompson Hotel & Suites
280,leshukonskoye,RU,64.9,45.76,Gostinitsa Mup Zhkkh
281,kuminskiy,RU,58.67,66.57,
282,touros,BR,-5.2,-35.46,Bugaendrus Paradise
283,derzhavinsk,KZ,51.1,66.32,Gostinitsa Galaktika
284,shakawe,BW,-18.37,21.85,Athoma Guest House
285,araouane,ML,18.9,-3.53,
286,aljezur,PT,37.32,-8.8,Aljezur Villas Hostel
287,severo-kurilsk,RU,50.68,156.12,Kak Doma
288,pudozh,RU,61.81,36.53,Karelonego Inn
289,denia,ES,38.84,0.11,Hotel El Raset
290,bethel,US,41.37,-73.41,Hampton Inn Danbury
291,balgazyn,RU,51.0,95.2,
292,presidencia roque saenz pena,AR,-26.79,-60.44,Hotel Gualok
293,poum,NC,-20.23,164.02,
294,caraz,PE,-9.05,-77.81,IntiRumi Inn
295,villarrica,PY,-25.75,-56.43,Hotel Musa
296,saint-philippe,RE,-21.36,55.77,Pinpin d'Amour
297,ostrovnoy,RU,68.05,39.51,
298,namatanai,PG,-3.67,152.43,Namatanai Hotel
299,igrim,RU,63.19,64.42,
300,half moon bay,US,37.46,-122.43,Beach House - Half Moon Bay
301,mildura,AU,-34.2,142.15,Quality Hotel Mildura Grand
302,oxbow,CA,49.23,-102.17,Bow Manor Motor Hotel
303,anadyr,RU,64.75,177.48,Chukotka hotel
304,urumqi,CN,43.8,87.6,JinJiang International Hotel Urumqi
305,alenquer,BR,-1.94,-54.74,Detinha Hotel
306,visby,SE,57.64,18.3,Clarion Hotel Wisby
307,narsaq,GL,60.92,-46.05,Hotel Narsaq
308,kaliua,TZ,-5.06,31.79,GARDENIA RODGE
309,yerbogachen,RU,61.28,108.01,
310,aksu,CN,41.12,80.26,Tianyuan International Hotel
311,la ronge,CA,55.1,-105.28,The Harbour Inn
312,namibe,AO,-15.2,12.15,Hotel ibis Styles Iu Namibe
313,manono,CD,-7.3,27.42,Hotel hewa bora
314,bangassou,CF,4.74,22.82,
315,diego de almagro,CL,-26.37,-70.05,hotel luna del desierto
316,alpena,US,45.06,-83.43,Holiday Inn Express & Suites Alpena - Downtown
317,esso,RU,55.93,158.7,Guest house Grushanka
318,vardo,NO,70.37,31.11,Meieriet Restaurant
319,nanzhang,CN,31.78,111.84,Peace Hotel
320,ouadda,CF,8.08,22.4,
321,iwanai,JP,42.97,140.51,いわない高原ホテル
322,vila,PT,42.03,-8.16,Moinho do Poço Verde
323,terbuny,RU,52.14,38.28,
324,finschhafen,PG,-6.6,147.87,Cossam Guest House
325,fort nelson,CA,58.81,-122.7,Lakeview Inns & Suites - Fort Nelson
326,san pedro,PH,14.35,121.02,Palines Apartment and Guesthouse
327,cochrane,CA,51.18,-114.47,Rockyview Hotel
328,awbari,LY,26.59,12.78,
329,chernyshevskiy,RU,63.01,112.47,
330,staryy nadym,RU,65.61,72.68,
331,potosi,BO,-19.58,-65.75,Hostal Colonial
332,virginia beach,US,36.85,-75.98,Hilton Virginia Beach Oceanfront
333,orlik,RU,52.52,99.83,Gostevoy Dom Mini Gostinitsa
334,sungaipenuh,ID,-2.08,101.38,DHEADITA Hotel
335,colares,PT,38.8,-9.45,Arribas Sintra Hotel
336,jiazi,CN,22.88,116.07,Hotel Jin Hao
337,ransang,PH,8.96,117.58,
338,souillac,MU,-20.52,57.52,Auberge de Saint-Aubin
339,manturovo,RU,58.34,44.76,"The hotel complex ""Aquarius"""
340,zdvinsk,RU,54.7,78.66,Hotel Siberia
341,xinyu,CN,27.8,114.93,Rongcheng Hotel
342,sitka,US,57.05,-135.33,Aspen Suites Hotel Sitka
343,coquimbo,CL,-29.95,-71.34,Apart Hotel La Fuente
344,wamba,NG,8.93,8.6,Roma Zee Guest House Annex
345,moron,AR,-34.65,-58.62,Hotel Cabildo
346,hambantota,LK,6.12,81.12,
347,sioux lookout,CA,50.1,-91.92,Sunset Inn & Suites
348,skovorodino,RU,53.98,123.92,Smak
349,kamenka,RU,51.32,42.77,
350,colac,AU,-38.33,143.58,Otway Gate Motel
351,sibolga,ID,1.74,98.78,Prima Indah Hotel
352,camopi,GF,3.17,-52.32,
353,tiksi,RU,71.69,128.87,Arktika
354,terrak,NO,65.09,12.37,Terråk Gjestegård
355,dwarka,IN,22.24,68.97,The Fern Sattva Hotel & Resort Dwarka
356,nova vcelnice,CZ,49.24,15.07,Pernštejnův statek
357,kavaratti,IN,10.57,72.64,Bismillah Hotel And Lodging
358,kruisfontein,ZA,-34.0,24.73,
359,omsukchan,RU,62.53,155.8,Restoran Zori
360,mangrol,IN,21.12,70.12,Kaveri Hotel
361,tasiilaq,GL,65.61,-37.64,Hotel Angmagssalik
362,evanston,US,42.04,-87.69,Holiday Inn Chicago North-Evanston
363,hofn,IS,64.25,-15.21,Milk Factory
364,mecca,SA,21.43,39.83,Pullman Zamzam Makkah
365,petropavlivka,UA,48.46,36.44,
366,pevek,RU,69.7,170.31,Severnoye Zoloto
367,agadir,MA,30.42,-9.6,Sofitel Agadir Royal Bay Resort
368,acarau,BR,-2.89,-40.12,Hotel Acaraú Riviera
369,blackwater,AU,-23.58,148.88,Blackwater Central Motel
370,belaya gora,RU,68.53,146.42,
371,baruun-urt,MN,46.68,113.28,Orgin Hotel
372,mudgee,AU,-32.59,149.59,Evanslea Luxury Boutique Accommodation Mudgee
373,nicoya,CR,10.15,-85.45,Hotel Nicoya
374,bubaque,GW,11.28,-15.83,Ponta Anchaca
375,tefe,BR,-3.35,-64.71,Stylos Hall Hotel
376,pierre,US,44.37,-100.35,Clubhouse Hotel & Suites
377,bathsheba,BB,13.22,-59.52,Rest Haven Beach Cottages
378,brae,GB,60.4,-1.35,Busta House Hotel
379,muscat,OM,23.61,58.59,OYO 103 Hotel Golden Oasis
380,kaitangata,NZ,-46.28,169.85,
381,finnsnes,NO,69.23,17.98,Finnsnes Hotel - A SNR Hotel
382,vanimo,PG,-2.67,141.3,Sandaun Surf Hotel
383,opuwo,,-18.06,13.84,Opuwo Country Lodge
384,talnakh,RU,69.49,88.4,Talnakh Hotel
385,pozo colorado,PY,-23.49,-58.8,Hospedaje la Amistad
386,fuling,CN,29.7,107.39,Chongqing Fuling Jinke Grand Hotel
387,oktyabrskoye,RU,43.06,44.74,Aleksandrovskiy
388,urgut,UZ,39.4,67.24,SAFAR ali HOTEL
389,christchurch,NZ,-43.53,172.63,BreakFree on Cashel Christchurch
390,le port,RE,-20.94,55.29,
391,mandera,KE,3.94,41.87,Granada Hotel Mandera
392,piacabucu,BR,-10.41,-36.43,Pousada Raizes
393,coahuayana,MX,18.73,-103.68,Hotel Posada Navideña
394,markova,UA,48.68,24.41,
395,tutoia,BR,-2.76,-42.27,Hotel Costa do Delta
396,fortuna,US,40.6,-124.16,THE REDWOOD RIVERWALK HOTEL
397,alzamay,RU,55.56,98.66,U Petra
398,geraldton,AU,-28.77,114.6,Ocean Centre Hotel
399,san vicente,AR,-26.62,-54.13,Hotel Y Restaurante Los Lapachos
400,amapa,BR,1.0,-52.0,
401,neka,IR,36.65,53.3,Hotel Milad Neka
402,kichera,RU,55.94,110.1,
403,ust-nera,RU,64.57,143.2,Gostevoy Dom
404,sesheke,ZM,-17.48,24.3,Caprivi Cabins River Lodge
405,muroto,JP,33.28,134.15,Misaki Kanko Hotel
406,matay,EG,28.42,30.78,
407,westport,US,41.14,-73.36,Hilton Garden Inn Norwalk
408,belmonte,BR,-15.86,-38.88,Pousada Rio
409,abu dhabi,AE,24.47,54.37,Jumeirah At Etihad Towers
410,ipaba,BR,-19.41,-42.42,
411,silopi,TR,37.25,42.47,Grand Hotel
412,birjand,IR,32.87,59.22,Sepehr Hotel
413,alta floresta,BR,-9.88,-56.09,Floresta Amazonica Hotel
414,kirakira,SB,-10.45,161.92,
415,pahrump,US,36.21,-115.98,Pahrump Nugget
416,rudraprayag,IN,30.28,78.98,Hotel Mandakini
417,tarko-sale,RU,64.92,77.78,"Mini-hotel ""Siberia"""
418,aykhal,RU,66.0,111.5,
419,port-gentil,GA,-0.72,8.78,Jimmy Hotel
420,irtyshskiy,RU,58.33,68.13,
421,yulara,AU,-25.24,130.99,Sails in the Desert
422,koumac,NC,-20.57,164.28,Hotel Karem Bay
423,kigorobya,UG,1.62,31.31,
424,berlevag,NO,70.86,29.09,Berlevåg camping & Appartement AS
425,chuy,UY,-33.7,-53.46,Bertelli Chuí Hotel
426,nemencine,LT,54.85,25.48,Rooms For Rent Near Vilnius
427,itaituba,BR,-4.28,-55.98,Hotel Campos
428,zhanaozen,KZ,43.3,52.8,Hotel BasTau
429,qeshm,IR,26.96,56.27,Irman BOUTIQUE HOTEL
430,pangnirtung,CA,66.15,-65.71,Auyuittuq Lodge (Inns North)
431,hammond,US,41.58,-87.5,Hampton Inn & Suites Hammond
432,goderich,CA,43.75,-81.72,Comfort Inn & Suites
433,umea,SE,63.83,20.26,U&Me Hotel
434,dudinka,RU,69.41,86.18,Hotel Viktoria
435,general jose eduvigis diaz,PY,-27.17,-58.42,
436,domoni,KM,-12.26,44.53,
437,el viejo,NI,12.66,-87.17,Hotel Los Balcones
438,general cepeda,MX,25.38,-101.45,Capital O Santa Rosa
439,faya,SA,18.39,42.45,
440,evansville,US,37.97,-87.56,DoubleTree by Hilton Evansville
441,ndele,CF,8.41,20.65,
442,constitucion,CL,-35.33,-72.42,Bed & Breakfast Sweet Dreams
443,poperinge,BE,50.85,2.69,Amfora
444,nayoro,JP,44.35,142.46,ホテルマイステイズ名寄
445,necochea,AR,-38.55,-58.74,Sur Hotel
446,kampene,CD,-3.6,26.67,
447,atar,MR,20.52,-13.05,Odar kanawal
448,saint-pierre,RE,-21.34,55.48,LODGE PALMAE
449,porto belo,BR,-27.16,-48.55,Pousada dos Ingleses
450,melville,US,40.79,-73.42,OHEKA CASTLE
451,oistins,BB,13.07,-59.53,Turtle Beach By Elegant Hotels
452,sao joao da barra,BR,-21.64,-41.05,Pousada Kactus
453,garoua boulai,CM,5.88,14.55,Hotel La Kadey 1
454,chumikan,RU,54.72,135.31,Fortuna
455,lokoja,NG,7.8,6.74,Fen Hotel
456,ripoll,ES,42.2,2.19,Hotel Solana Del Ter
457,thinadhoo,MV,0.53,72.93,
458,san ramon de la nueva oran,AR,-23.13,-64.33,Hotel Baritu
459,klaksvik,FO,62.23,-6.59,Hotel Klaksvík
460,andenes,NO,69.31,16.12,Grønnbuene Rorbu Hotel
461,salalah,OM,17.02,54.09,Salalah Gardens Hotel
462,el jicaro,GT,14.92,-89.9,
463,chitral,PK,35.85,71.79,Al Mughal Hotel
464,rushden,GB,52.29,-0.6,Travelodge Wellingborough Rushden
465,umba,RU,66.69,34.34,Cedar Grass Beloye More
466,pulaski,US,34.77,-92.3,Little Rock Marriott
