,City,Country,Lat,Lng,Hotel Name
467,caibarien,CU,22.52,-79.47,Hotel Brisas del Mar
468,boundiali,CI,9.52,-6.49,IMAN S HOTEL
469,tamiahua,MX,21.27,-97.45,Mission Of The Sun Hotel
470,riviere-au-renard,CA,49.0,-64.4,Gîte du Renard
471,beoumi,CI,7.67,-5.58,
472,nova olimpia,BR,-14.8,-57.29,Hotel Pantanal
473,karasburg,,-28.02,18.75,Sunset Chalets
474,atambua,ID,-9.11,124.89,Hotel Timor
475,bilma,NE,18.69,12.92,
476,katobu,ID,-4.94,122.53,Balai Desa Kafofo
477,dakar,SN,14.69,-17.44,"Radisson Blu Hotel, Dakar Sea Plaza"
478,clyde river,CA,70.47,-68.59,Naujaaraaluit – Clyde River Hotel
479,pimentel,PE,-6.84,-79.93,Hotel Puerto del Sol
480,imeni zhelyabova,RU,58.95,36.6,
481,yablonovo,RU,50.85,37.36,
482,lazaro cardenas,MX,17.96,-102.2,Hotel de Casablanca
483,yar-sale,RU,66.83,70.83,"Hotel ""Nord House"""
484,selenginsk,RU,52.01,106.86,Kafe
485,broome,US,42.25,-75.83,
486,baiyin,CN,36.56,104.21,Baiyin Hotel
487,lompoc,US,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
488,comodoro rivadavia,AR,-45.87,-67.5,Lucania Palazzo Hotel
489,hovd,MN,48.01,91.64,Minj Hotel
490,haljala,EE,59.43,26.26,
491,omboue,GA,-1.57,9.26,Hôtel Georges Faustin Aurat
492,port hardy,CA,50.7,-127.42,Glen Lyon Inn
493,kungurtug,RU,50.6,97.52,
494,bukachacha,RU,52.98,116.92,
495,mali,GN,12.08,-12.3,Hotel La Dame de Mali
496,mladenovac,RS,44.44,20.7,Selters Spa
497,viedma,AR,-40.81,-63.0,Alta Patagonia Apart
498,lahat,ID,-3.8,103.53,HOTEL GRAND SIGMA
499,saint anthony,US,45.02,-93.22,The Grand Hotel Minneapolis
500,bealanana,MG,-14.55,48.73,
501,crotone,IT,39.09,17.12,ESTES B&B
502,zamania,IN,25.43,83.57,
503,nauta,PE,-4.51,-73.58,Hospedaje Plaza Inn
504,bac lieu,VN,9.29,105.72,Hotel Royal
505,vuktyl,RU,63.86,57.31,Mini-Hotel Lokomotiv
506,postrelmov,CZ,49.91,16.91,Habermannova Vila
507,gokak,IN,16.17,74.83,The Landmark Hotel
508,fort-shevchenko,KZ,44.51,50.26,Dostyk Hotel
509,broken hill,AU,-31.95,141.43,ibis Styles Broken Hill
510,mayor pablo lagerenza,PY,-19.93,-60.77,
511,puerto carreno,CO,6.19,-67.49,HOTEL TIERRA AZUL
512,dumbrava,RO,44.88,26.18,
513,sabha,LY,27.04,14.43,فندق المواجيد
514,winnemucca,US,40.97,-117.74,Best Western Plus Gold Country Inn
515,monterey,US,36.25,-121.25,
516,vestmanna,FO,62.16,-7.17,Budget Guesthouse Borgustova
517,tavatuy,RU,57.07,60.13,
518,harrisburg,US,40.27,-76.88,Radisson Hotel Harrisburg
519,chifeng,CN,42.27,118.96,Movenpick Hotel & State Guest House Chifeng
520,maraba,BR,-5.37,-49.12,Itacaiúnas Hotel
521,huarmey,PE,-10.07,-78.15,Hotel Miramar
522,tomatlan,MX,19.93,-105.25,Hotel Misión San Miguel
523,aklavik,CA,68.22,-135.01,Sundog Inn
524,pisco,PE,-13.7,-76.22,Embassy Beach
525,atasu,KZ,48.68,71.64,
526,valparaiso,CL,-33.04,-71.63,Hotel Palacio Astoreca
527,los llanos de aridane,ES,28.66,-17.92,Hotel Hacienda de Abajo
528,balsas,BR,-7.53,-46.04,Mais Hotel
529,guiratinga,BR,-16.35,-53.76,Ópera Palace Hotel
530,keti bandar,PK,24.14,67.45,
531,cacapava do sul,BR,-30.51,-53.49,KARLTON HOTEL
532,baykit,RU,61.67,96.37,
533,marion,US,39.77,-86.16,Hilton Garden Inn Indianapolis Downtown
534,pervomayskiy,RU,53.25,40.29,
535,baruni,IN,25.48,85.98,Hotel Yuvraj Deluxe
536,laguna de perlas,NI,12.34,-83.67,Casa Blanca
537,jalalabad,AF,34.43,70.45,Afghan Shahi
538,lalibela,ET,12.03,39.03,Sora Lodge Lalibela
539,chimoio,MZ,-19.12,33.48,Hotel Castelo Branco
540,dzhebariki-khaya,RU,62.22,135.8,
541,belem de sao francisco,BR,-8.75,-38.97,Village Hotel
542,port moresby,PG,-9.44,147.18,Hilton Port Moresby
543,bonavista,CA,48.65,-53.11,Butler's By the Sea B&B
544,arcachon,FR,44.59,-1.05,Villa Bora Bora
545,bosaso,SO,11.28,49.18,Gacayte Hotel
546,vyartsilya,RU,62.18,30.69,Hotelli Joki
547,acajutla,SV,13.59,-89.83,Villavela Hotel Boutique
548,elizabeth city,US,36.29,-76.25,Fairfield Inn & Suites by Marriott Elizabeth City
549,methoni,GR,36.82,21.7,ACHILLES HILL HOTEL
550,hay river,CA,60.82,-115.8,Eileen's Bed & Breakfast - Guest House
551,jalu,LY,29.03,21.55,Jalu Hotel
552,kabompo,ZM,-13.59,24.2,Chidikumbidi Lodge
553,ginda,IN,30.69,78.49,Hotel KNB Heritage
554,bulungu,CD,-4.55,18.6,
555,athabasca,CA,54.72,-113.29,Days Inn by Wyndham Athabasca
556,zyryanka,RU,65.75,150.85,
557,gavle,SE,60.67,17.14,Elite Grand Hotel
558,yaguajay,CU,22.33,-79.24,Hostal Fuente Verde
559,sidi ali,DZ,36.1,0.42,
560,belogorsk,RU,50.92,128.46,Gold mill
561,somerset,US,40.57,-74.55,"Somerset Lofts, an Ascend Hotel Collection Member"
562,roros,NO,62.57,11.38,Erzscheidergården
563,lyuban,BY,52.8,28.0,
564,annau,TM,37.89,58.52,
565,rawson,AR,-43.3,-65.1,Hotel Punta León
566,carutapera,BR,-1.2,-46.02,HOTEL R. SOARES
567,dhidhdhoo,MV,6.88,73.1,
568,oriximina,BR,-1.77,-55.87,Hotel Mapuera
569,haukipudas,FI,65.18,25.35,Samantta Hotel & Restaurant
570,kenora,CA,49.82,-94.43,Hidden Trail Resort
571,launceston,AU,-41.45,147.17,Hotel Grand Chancellor Launceston
572,prado,BR,-17.34,-39.22,Cahy Praia Hotel
573,menlo park,US,40.52,-74.41,Hilton East Brunswick Hotel & Executive Meeting Center
574,herat,AF,34.5,62.0,
575,gouyave,GD,12.16,-61.73,Mount Edgecombe Plantation
576,mariel,CU,22.99,-82.75,
577,san jeronimo,PE,-11.95,-75.28,
578,okhotsk,RU,59.38,143.3,Prozhivaniye V Okhotske
579,shimoda,JP,34.67,138.95,Shimoda Prince Hotel
580,palmer,US,42.16,-72.33,The Trainmaster's Inn
581,lasa,IT,46.62,10.7,Untertelshof
582,bayir,TR,37.27,28.22,
583,embonas,GR,36.23,27.86,Hotel Ataviros
584,vicuna,CL,-30.03,-70.71,Rucka-Inn Cottages & Domes
585,dong hoi,VN,17.48,106.6,Vinpearl Hotel Quảng Bình
